Id,Predicted
0,10
1,13
2,2
3,0
4,5
5,11
6,16
7,17
8,7
9,4
10,17
11,15
12,18
13,5
14,11
15,9
16,12
17,13
18,5
19,10
20,15
21,0
22,13
23,4
24,0
25,5
26,13
27,5
28,18
29,5
30,18
31,11
32,12
33,1
34,2
35,5
36,14
37,3
38,6
39,2
40,19
41,11
42,2
43,7
44,7
45,15
46,12
47,13
48,2
49,18
50,10
51,13
52,15
53,9
54,15
55,4
56,14
57,7
58,18
59,12
60,3
61,11
62,0
63,11
64,11
65,5
66,9
67,9
68,16
69,5
70,18
71,17
72,3
73,17
74,17
75,1
76,3
77,2
78,7
79,13
80,13
81,17
82,11
83,4
84,15
85,3
86,10
87,7
88,16
89,10
90,12
91,9
92,18
93,13
94,9
95,4
96,8
97,12
98,14
99,7
100,15
101,13
102,4
103,8
104,3
105,12
106,15
107,8
108,10
109,9
110,2
111,8
112,18
113,13
114,15
115,13
116,4
117,15
118,0
119,17
120,17
121,3
122,9
123,16
124,9
125,2
126,8
127,10
128,8
129,19
130,16
131,10
132,17
133,9
134,8
135,7
136,17
137,7
138,19
139,16
140,16
141,11
142,19
143,9
144,12
145,1
146,11
147,5
148,12
149,13
150,14
151,16
