Id,Predicted
0,2
1,8
2,8
3,7
4,3
5,11
6,19
7,15
8,1
9,7
10,0
11,6
12,18
13,19
14,11
15,3
16,0
17,9
18,9
19,6
20,12
21,0
22,11
23,16
24,1
25,0
26,6
27,5
28,1
29,7
30,7
31,2
32,16
33,13
34,1
35,13
36,15
37,5
38,8
39,19
40,16
41,0
42,5
43,3
44,14
45,3
46,12
47,9
48,9
49,5
50,8
51,18
52,1
53,18
54,2
55,5
56,8
57,13
58,0
59,6
60,15
61,12
62,1
63,19
64,19
65,16
66,6
67,10
68,15
69,1
70,18
71,18
72,2
73,1
74,1
75,4
76,19
77,8
78,16
79,19
80,19
81,8
82,8
83,10
84,7
85,13
86,11
87,14
88,18
89,10
90,16
91,15
92,15
93,6
94,17
95,17
96,6
97,15
98,12
99,3
100,11
101,2
102,13
103,11
104,0
105,9
106,19
107,12
108,19
109,14
110,0
111,1
112,13
113,15
114,9
115,13
116,3
117,15
118,16
119,12
120,2
121,6
122,8
123,14
124,5
125,7
126,1
127,1
128,16
129,16
130,6
131,2
132,4
133,0
134,12
135,2
136,6
137,14
138,14
139,9
140,0
141,2
142,9
143,0
144,11
145,3
146,10
147,5
148,14
149,0
150,4
151,15
152,5
153,5
154,5
155,15
156,3
157,7
158,18
159,3
160,4
161,0
162,19
163,1
164,2
165,19
166,9
167,8
168,4
169,3
170,19
171,13
172,18
173,19
174,3
175,5
176,1
177,17
178,15
179,3
180,9
181,13
182,14
183,8
184,17
185,14
186,16
187,8
188,9
189,10
190,14
191,8
192,17
193,19
194,10
195,9
196,6
197,19
198,9
199,3
